,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
0,1.0,1.0,53.0,Man,,,London,Other,Remain,Missing,Missing,,10,The Guardian,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",C1,Not Asked,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",0.8756800554898829,2017-04-25 20:09:38,2017-04-25 20:17:27,Wrong,Very negative effect,Somewhat negative effect,Fairly badly,3.0,a Remainer,,,
1,1.0,2.0,39.0,Woman,,,North East,Labour,Leave,Missing,Missing,,4,The Daily Mail / The Scottish Daily Mail,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",16,CSE grades 2-5,D,Not Asked,Unemployed,Self-employed,Other,0.4688063274587078,2017-04-26 08:14:56,2017-04-26 08:22:27,Right,Somewhat positive effect,Neither positive nor negative,Fairly well,9.0,a Leaver,,,
2,1.0,3.0,55.0,Man,,,Wales,Labour,Remain,Missing,Missing,,5,None,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",17-18,City & Guilds certificate - advanced,D,Not Asked,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.5349955898559852,2017-04-25 23:03:05,2017-04-25 23:06:24,Wrong,Very negative effect,Very negative effect,Very badly,0.0,a Remainer,,,
3,1.0,4.0,66.0,Man,,,West Midlands,Other,Leave,Missing,Missing,,10,Other Newspaper,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",15 or under,No formal qualifications,D,Not Asked,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",0.6021919915062658,2017-04-25 17:35:01,2017-04-25 17:42:10,Right,Somewhat positive effect,Somewhat positive effect,Very well,8.0,Neither a Leaver nor a Remainer,,,
4,1.0,5.0,41.0,Man,,,South East,UKIP,Remain,Missing,Missing,,1,None,"£25,000 to £29,999 per year","£50,000 to £59,999 per year",17-18,Prefer not to say,AB,Not Asked,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)",2.573304851186802,2017-04-25 20:32:16,2017-04-25 20:36:13,Wrong,Very negative effect,Somewhat negative effect,Very badly,5.0,a Remainer,,,
5,1.0,6.0,66.0,Man,,,East of England,Conservative,Remain,Missing,Missing,,5,The Times,Prefer not to answer,Prefer not to answer,20+,"Other technical, professional or higher qualification",AB,Not Asked,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.5827318244725492,2017-04-25 18:16:42,2017-04-25 18:20:05,Wrong,Very negative effect,Neither positive nor negative,Don't know,4.0,a Remainer,,,
6,1.0,7.0,63.0,Man,,,South West,Conservative,Leave,Missing,Missing,,10,The Daily Telegraph,"£35,000 to £39,999 per year","£40,000 to £44,999 per year",15 or under,University diploma,AB,Not Asked,Retired,Other,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8220243087028346,2017-04-25 18:02:31,2017-04-25 18:11:09,Right,Very positive effect,Very positive effect,Don't know,4.0,Neither a Leaver nor a Remainer,,,
7,1.0,8.0,60.0,Man,,,North West,Conservative,Leave,Missing,Missing,,6,The Independent,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",15 or under,Teaching qualification (not degree),E,Not Asked,Not working,Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7740416926002223,2017-04-25 20:55:44,2017-04-25 21:07:14,Right,Somewhat positive effect,Don't know,Fairly badly,4.0,Neither a Leaver nor a Remainer,,,
8,1.0,9.0,62.0,Man,,,Yorkshire and the Humber,Conservative,Remain,Missing,Missing,,8,The Daily Mail / The Scottish Daily Mail,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",16,GCE A level or Higher Certificate,AB,Not Asked,Retired,Charity/voluntary sector,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.6293186802898424,2017-04-25 19:18:56,2017-04-25 19:24:06,Wrong,Somewhat negative effect,Neither positive nor negative,Fairly well,4.0,a Remainer,,,
9,1.0,10.0,76.0,Man,,,North West,Conservative,Leave,Missing,Missing,,5,The Daily Telegraph,"£20,000 to £24,999 per year","£25,000 to £29,999 per year",19,University diploma,AB,Not Asked,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7624653353718888,2017-04-25 17:43:43,2017-04-25 17:55:22,Right,Somewhat positive effect,Somewhat positive effect,Fairly well,10.0,a Leaver,,,
10,1.0,11.0,35.0,Woman,,,South East,UKIP,Leave,Missing,Missing,,7,The Daily Mail / The Scottish Daily Mail,"£20,000 to £24,999 per year","£45,000 to £49,999 per year",17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",AB,Not Asked,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7797129376755338,2017-04-25 20:32:49,2017-04-25 20:45:33,Right,Somewhat positive effect,Neither positive nor negative,Very badly,10.0,a Leaver,,,
